codigo_linha,linha,codigo_coluna,coluna,chi2,p,v_cramer,n,p_ajustado,significativo
adc1[SQ001],palestra público geral,CE02,Sexo,12.570034075525825,0.05039529464966688,0.0666518916149147,1479,0.13631514126549238,False
adc1[SQ001],palestra público geral,CE03,Escolaridade_Mae,41.941043584137965,0.2288560213288519,0.025675099136824066,1502,0.35963089065962445,False
adc1[SQ001],palestra público geral,CE04,Cor_Raca,30.3235349212347,0.1742588553723042,0.03295337515507264,1456,0.29950740767114786,False
adc1[SQ001],palestra público geral,CE05,Religiao,55.84512271703915,0.6282225922229256,0.0,1459,0.7248722217956834,False
adc1[SQ001],palestra público geral,CE06,Importancia_Religiao,26.189966660640927,0.09549304032765402,0.05031896468360343,1079,0.2091630466760956,False
adc1[SQ001],palestra público geral,CE10,Ciencia_BasicaXAplicada,55.22759371104487,1.17929649449818e-05,0.09100101404257092,1501,0.0001297226143947998,True
adc1[SQ001],palestra público geral,CE07,Orientacao_Politica,33.41971241728342,0.3046202830930173,0.021810256300689806,1434,0.45281393432745815,False
adc1[SQ001],palestra público geral,CE08,Nivel_Bolsa_CNPq,67.9061630501863,9.206043505296583e-05,0.07116885797770045,1501,0.0008935277519846684,True
adc1[SQ001],palestra público geral,CE11,GdeArea_CNPq,149.22919205448284,6.28622596639689e-14,0.10950436802932245,1496,2.5930682111387173e-12,True
adc1[SQ001],palestra público geral,CE13,Regiao_Geografica,18.015975597988515,0.8022327186695675,0.0,1498,0.875943791494318,False
adc1[SQ001],palestra público geral,CE14,Tempo_Vinculo,46.93419127759892,0.003412331351050161,0.06213585690904152,1488,0.018162408803976664,True
adc1[SQ002],curso público externo,CE02,Sexo,11.950273175810947,0.06308738727520906,0.06349273607087312,1476,0.15771846818802263,False
adc1[SQ002],curso público externo,CE03,Escolaridade_Mae,44.14724389147492,0.16520281858643426,0.03013347157257083,1497,0.28693121122907,False
adc1[SQ002],curso público externo,CE04,Cor_Raca,26.010417149903212,0.35263656341194216,0.018560260784828607,1451,0.49309349968619026,False
adc1[SQ002],curso público externo,CE05,Religiao,83.21077036776587,0.02537580563142758,0.05164149705603632,1454,0.07612741689428275,False
adc1[SQ002],curso público externo,CE06,Importancia_Religiao,37.16794776758842,0.004982745182135196,0.07709673895157504,1077,0.023490084430065925,True
